task_id,asset,timeframe,end_date,end_time,分析时的价格,未来第一根K线的价格,未来第二根K线的价格,ai_decision,is_correct,profit_pct_1,profit_pct_2,cumulative_win_rate,duration_s,result_id,ai_version,data_method,kline_count,future_kline_count,error,AGENT_MODEL,GRAPH_MODEL,回测模式,资金_初始,资金_当前,下单金额,仓位比例,合约倍数,滑点百分比,强制平仓百分比,名义金额,成交数量,成交开仓价,成交平仓价,平仓原因,本次盈亏,本次盈亏百分比
,,,,,,,,,,,,,,,,,,,=== 新批次开始 2026-01-19 21:10:36 ===,,,,,,,,,,,,,,,,,
5,BTC,4h,2025-05-17,19:59,102942.200000,102888.100000 -0.05%,103109.000000 +0.16%,SHORT,False,+0.05%,-0.16%,0.00%,50.589,R-A045-260119-2110-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
6,BTC,4h,2025-05-17,03:59,103944.900000,103411.500000 -0.51%,103466.300000 -0.46%,SHORT,True,+0.51%,+0.46%,50.00%,61.634,R-A044-260119-2110-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
2,BTC,4h,2025-05-24,15:57,107804.200000,109148.900000 +1.25%,108889.000000 +1.01%,SHORT,False,-1.25%,-1.01%,33.33%,61.67,R-A046-260119-2110-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
14,BTC,4h,2025-05-20,15:56,105070.500000,105160.600000 +0.09%,105291.600000 +0.21%,LONG,True,+0.09%,+0.21%,50.00%,72.113,R-A047-260119-2110-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
19,BTC,4h,2025-05-21,15:55,106648.700000,106493.300000 -0.15%,108930.000000 +2.14%,SHORT,False,+0.15%,-2.14%,40.00%,70.546,R-A048-260119-2111-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
8,BTC,4h,2025-05-31,07:57,104000.500000,103632.600000 -0.35%,103703.300000 -0.29%,SHORT,True,+0.35%,+0.29%,50.00%,80.372,R-A049-260119-2111-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
13,BTC,4h,2025-05-31,23:57,104485.500000,104659.900000 +0.17%,104550.000000 +0.06%,SHORT,False,-0.17%,-0.06%,42.86%,49.317,R-A050-260119-2111-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
1,BTC,4h,2025-06-04,23:59,105205.900000,104867.600000 -0.32%,104643.500000 -0.53%,SHORT,True,+0.32%,+0.53%,50.00%,56.652,R-A051-260119-2111-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
7,BTC,4h,2025-06-07,15:59,104820.400000,105086.500000 +0.25%,105502.100000 +0.65%,LONG,True,+0.25%,+0.65%,55.56%,50.246,R-A052-260119-2111-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
17,BTC,4h,2025-06-21,15:57,103383.000000,103843.400000 +0.45%,103525.500000 +0.14%,SHORT,False,-0.45%,-0.14%,50.00%,52.778,R-A053-260119-2111-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
9,BTC,4h,2025-07-06,15:55,108008.100000,108029.900000 +0.02%,108865.100000 +0.79%,LONG,True,+0.02%,+0.79%,54.55%,59.176,R-A054-260119-2111-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
20,BTC,4h,2025-07-07,11:55,109352.500000,109013.800000 -0.31%,108599.000000 -0.69%,LONG,False,-0.31%,-0.69%,50.00%,55.17,R-A055-260119-2112-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
4,BTC,4h,2025-07-11,03:55,113210.300000,115993.000000 +2.46%,116855.900000 +3.22%,LONG,True,+2.46%,+3.22%,53.85%,54.798,R-A056-260119-2112-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
10,BTC,4h,2025-07-27,03:57,118243.200000,117908.000000 -0.28%,118199.100000 -0.04%,LONG,False,-0.28%,-0.04%,50.00%,38.047,R-A057-260119-2112-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
15,BTC,4h,2025-07-30,15:56,118139.800000,117574.700000 -0.48%,118003.100000 -0.12%,SHORT,True,+0.48%,+0.12%,53.33%,62.085,R-A058-260119-2112-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
18,BTC,4h,2025-08-08,23:58,116161.000000,116383.900000 +0.19%,116620.800000 +0.40%,SHORT,False,-0.19%,-0.40%,50.00%,59.148,R-A059-260119-2112-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
3,BTC,4h,2025-08-15,19:58,119012.700000,117221.600000 -1.50%,116887.900000 -1.79%,SHORT,True,+1.50%,+1.79%,52.94%,58.283,R-A060-260119-2112-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
12,BTC,4h,2025-08-23,11:59,115557.100000,115788.800000 +0.20%,115266.200000 -0.25%,LONG,False,+0.20%,-0.25%,50.00%,60.389,R-A061-260119-2113-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
11,BTC,4h,2025-08-31,23:56,108745.200000,108877.900000 +0.12%,108199.700000 -0.50%,SHORT,True,-0.12%,+0.50%,52.63%,48.138,R-A062-260119-2113-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
16,BTC,4h,2025-09-02,11:57,110330.000000,110199.900000 -0.12%,109708.700000 -0.56%,SHORT,True,+0.12%,+0.56%,55.00%,57.11,R-A063-260119-2113-BTC-4H,original,to_end,40,13,,anthropic/claude-sonnet-4.5,anthropic/claude-haiku-4.5,普通回测,,,,,,,,,,,,,,
