task_id,asset,timeframe,end_date,end_time,分析时的价格,未来第一根K线的价格,未来第二根K线的价格,ai_decision,is_correct,profit_pct_1,profit_pct_2,cumulative_win_rate,duration_s,result_id,ai_version,data_method,kline_count,future_kline_count,error,AGENT_MODEL,GRAPH_MODEL,回测模式,资金_初始,资金_当前,下单金额,仓位比例,合约倍数,滑点百分比,强制平仓百分比,名义金额,成交数量,成交开仓价,成交平仓价,平仓原因,本次盈亏,本次盈亏百分比
,,,,,,,,,,,,,,,,,,,=== 新批次开始 2026-01-19 15:31:53 ===,,,,,,,,,,,,,,,,,
2,BTC,4h,2025-01-06,19:56,99207.000000,102149.800000 +2.97%,101806.200000 +2.62%,SHORT,False,-2.97%,-2.62%,0.00%,59.3,R-A096-260119-1532-BTC-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
4,BTC,4h,2025-03-06,11:55,91434.400000,91360.100000 -0.08%,91347.900000 -0.09%,LONG,False,-0.08%,-0.09%,0.00%,56.489,R-A098-260119-1533-BTC-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
7,BTC,4h,2025-04-13,19:57,84439.500000,83861.800000 -0.68%,83993.100000 -0.53%,SHORT,True,+0.68%,+0.53%,33.33%,55.72,R-A101-260119-1534-BTC-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
5,BTC,4h,2025-03-24,07:58,85972.000000,86533.600000 +0.65%,86879.300000 +1.06%,SHORT,False,-0.65%,-1.06%,25.00%,55.514,R-A099-260119-1533-BTC-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
6,BTC,4h,2025-04-07,03:55,79467.400000,78419.900000 -1.32%,77693.000000 -2.23%,SHORT,True,+1.32%,+2.23%,40.00%,48.485,R-A100-260119-1534-BTC-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
3,BTC,4h,2025-01-09,23:57,94342.000000,91907.800000 -2.58%,92554.900000 -1.89%,SHORT,True,+2.58%,+1.89%,50.00%,54.737,R-A097-260119-1532-BTC-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
1,BTC,4h,2025-01-05,19:59,97653.500000,98029.900000 +0.39%,98087.900000 +0.44%,SHORT,False,-0.39%,-0.44%,42.86%,42.839,R-A095-260119-1531-BTC-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
8,BTC,4h,2025-04-18,15:55,84649.800000,84679.000000 +0.03%,84372.800000 -0.33%,SHORT,True,-0.03%,+0.33%,50.00%,59.165,R-A102-260119-1534-BTC-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
9,BTC,4h,2025-05-02,11:59,97056.000000,96323.000000 -0.76%,96873.000000 -0.19%,LONG,False,-0.76%,-0.19%,44.44%,59.467,R-A103-260119-1535-BTC-4H,original,to_end,40,13,,qwen3-235b-a22b-instruct,qwen3-vl-plus,普通回测,,,,,,,,,,,,,,
