task_id,asset,timeframe,end_date,end_time,分析时的价格,未来第一根K线的价格,未来第二根K线的价格,ai_decision,is_correct,profit_pct_1,profit_pct_2,cumulative_win_rate,duration_s,result_id,ai_version,data_method,kline_count,future_kline_count,error,AGENT_MODEL,GRAPH_MODEL,回测模式,资金_初始,资金_当前,下单金额,仓位比例,合约倍数,滑点百分比,强制平仓百分比,名义金额,成交数量,成交开仓价,成交平仓价,平仓原因,本次盈亏,本次盈亏百分比
,,,,,,,,,,,,,,,,,,,=== 新批次开始 2026-01-19 22:14:25 ===,,,,,,,,,,,,,,,,,
6,BTC,4h,2025-05-17,03:59,103944.900000,103411.500000 -0.51%,103466.300000 -0.46%,LONG,False,-0.51%,-0.46%,0.00%,36.927,R-A159-260119-2214-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,9832.02,3000.00,30.00%,10.0000,0.0500%,5.0000%,30000.00,0.28847021,103996.872450,103414.566850,按第2根收盘平仓,-167.98,-1.68%
5,BTC,4h,2025-05-17,19:59,102942.200000,102888.100000 -0.05%,103109.000000 +0.16%,SHORT,False,+0.05%,-0.16%,0.00%,35.889,R-A160-260119-2215-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,9754.67,2949.61,30.00%,10.0000,0.0500%,5.0000%,29496.07,0.28667371,102890.728900,103160.554500,按第2根收盘平仓,-77.35,-0.79%
14,BTC,4h,2025-05-20,15:56,105070.500000,105160.600000 +0.09%,105291.600000 +0.21%,LONG,True,+0.09%,+0.21%,33.33%,31.724,R-A161-260119-2215-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,9786.94,2926.40,30.00%,10.0000,0.0500%,5.0000%,29264.01,0.27837867,105123.035250,105238.954200,按第2根收盘平仓,+32.27,+0.33%
19,BTC,4h,2025-05-21,15:55,106648.700000,106493.300000 -0.15%,108930.000000 +2.14%,LONG,True,-0.15%,+2.14%,50.00%,36.861,R-A162-260119-2216-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10385.02,2936.08,30.00%,10.0000,0.0500%,5.0000%,29360.82,0.27516647,106702.024350,108875.535000,按第2根收盘平仓,+598.08,+6.11%
2,BTC,4h,2025-05-24,15:57,107804.200000,109148.900000 +1.25%,108889.000000 +1.01%,LONG,True,+1.25%,+1.01%,60.00%,37.904,R-A163-260119-2216-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10667.07,3115.51,30.00%,10.0000,0.0500%,5.0000%,31155.05,0.28885221,107858.102100,108834.555500,按第2根收盘平仓,+282.05,+2.72%
8,BTC,4h,2025-05-31,07:57,104000.500000,103632.600000 -0.35%,103703.300000 -0.29%,SHORT,True,+0.35%,+0.29%,66.67%,34.938,R-A164-260119-2217-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10726.59,3200.12,30.00%,10.0000,0.0500%,5.0000%,32001.20,0.30785632,103948.499750,103755.151650,按第2根收盘平仓,+59.52,+0.56%
13,BTC,4h,2025-05-31,23:57,104485.500000,104659.900000 +0.17%,104550.000000 +0.06%,SHORT,False,-0.17%,-0.06%,57.14%,33.862,R-A165-260119-2218-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10674.51,3217.98,30.00%,10.0000,0.0500%,5.0000%,32179.77,0.30813722,104433.257250,104602.275000,按第2根收盘平仓,-52.08,-0.49%
1,BTC,4h,2025-06-04,23:59,105205.900000,104867.600000 -0.32%,104643.500000 -0.53%,LONG,False,-0.32%,-0.53%,50.00%,34.698,R-A166-260119-2218-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10471.49,3202.35,30.00%,10.0000,0.0500%,5.0000%,32023.53,0.30423700,105258.502950,104591.178250,按第2根收盘平仓,-203.02,-1.90%
7,BTC,4h,2025-06-07,15:59,104820.400000,105086.500000 +0.25%,105502.100000 +0.65%,LONG,True,+0.25%,+0.65%,55.56%,34.562,R-A167-260119-2219-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10644.19,3141.45,30.00%,10.0000,0.0500%,5.0000%,31414.46,0.29954815,104872.810200,105449.348950,按第2根收盘平仓,+172.70,+1.65%
17,BTC,4h,2025-06-21,15:57,103383.000000,103843.400000 +0.45%,103525.500000 +0.14%,SHORT,False,-0.45%,-0.14%,50.00%,38.707,R-A168-260119-2219-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10568.18,3193.26,30.00%,10.0000,0.0500%,5.0000%,31932.56,0.30903083,103331.308500,103577.262750,按第2根收盘平仓,-76.01,-0.71%
9,BTC,4h,2025-07-06,15:55,108008.100000,108029.900000 +0.02%,108865.100000 +0.79%,SHORT,False,-0.02%,-0.79%,45.45%,46.85,R-A169-260119-2220-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10284.64,3170.45,30.00%,10.0000,0.0500%,5.0000%,31704.54,0.29368536,107954.095950,108919.532550,按第2根收盘平仓,-283.53,-2.68%
20,BTC,4h,2025-07-07,11:55,109352.500000,109013.800000 -0.31%,108599.000000 -0.69%,LONG,False,-0.31%,-0.69%,41.67%,45.521,R-A170-260119-2221-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10041.42,3085.39,30.00%,10.0000,0.0500%,5.0000%,30853.93,0.28201015,109407.176250,108544.700500,按第2根收盘平仓,-243.23,-2.36%
4,BTC,4h,2025-07-11,03:55,113210.300000,115993.000000 +2.46%,116855.900000 +3.22%,LONG,True,+2.46%,+3.22%,46.15%,229.166,R-A172-260119-2225-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10980.40,3012.43,30.00%,10.0000,0.0500%,5.0000%,30124.25,0.26595812,113266.905150,116797.472050,按第2根收盘平仓,+938.98,+9.35%
10,BTC,4h,2025-07-27,03:57,118243.200000,117908.000000 -0.28%,118199.100000 -0.04%,SHORT,True,+0.28%,+0.04%,50.00%,32.144,R-A173-260119-2226-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10959.74,3294.12,30.00%,10.0000,0.0500%,5.0000%,32941.20,0.27872792,118184.078400,118258.199550,按第2根收盘平仓,-20.66,-0.19%
15,BTC,4h,2025-07-30,15:56,118139.800000,117574.700000 -0.48%,118003.100000 -0.12%,SHORT,True,+0.48%,+0.12%,53.33%,34.355,R-A174-260119-2226-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10964.93,3287.92,30.00%,10.0000,0.0500%,5.0000%,32879.22,0.27844698,118080.730100,118062.101550,按第2根收盘平仓,+5.19,+0.05%
18,BTC,4h,2025-08-08,23:58,116161.000000,116383.900000 +0.19%,116620.800000 +0.40%,SHORT,False,-0.19%,-0.40%,50.00%,38.938,R-A175-260119-2227-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,10801.68,3289.48,30.00%,10.0000,0.0500%,5.0000%,32894.78,0.28332435,116102.919500,116679.110400,按第2根收盘平仓,-163.25,-1.49%
3,BTC,4h,2025-08-15,19:58,119012.700000,117221.600000 -1.50%,116887.900000 -1.79%,SHORT,True,+1.50%,+1.79%,52.94%,42.542,R-A176-260119-2227-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,11348.38,3240.50,30.00%,10.0000,0.0500%,5.0000%,32405.04,0.27241839,118953.193650,116946.343950,按第2根收盘平仓,+546.70,+5.06%
12,BTC,4h,2025-08-23,11:59,115557.100000,115788.800000 +0.20%,115266.200000 -0.25%,LONG,False,+0.20%,-0.25%,50.00%,37.33,R-A177-260119-2228-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,11228.74,3404.51,30.00%,10.0000,0.0500%,5.0000%,34045.15,0.29447028,115614.878550,115208.566900,按第2根收盘平仓,-119.65,-1.05%
11,BTC,4h,2025-08-31,23:56,108745.200000,108877.900000 +0.12%,108199.700000 -0.50%,SHORT,True,-0.12%,+0.50%,52.63%,44.963,R-A178-260119-2229-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,11364.18,3368.62,30.00%,10.0000,0.0500%,5.0000%,33686.21,0.30992685,108690.827400,108253.799850,按第2根收盘平仓,+135.45,+1.21%
16,BTC,4h,2025-09-02,11:57,110330.000000,110199.900000 -0.12%,109708.700000 -0.56%,LONG,False,-0.12%,-0.56%,50.00%,40.858,R-A179-260119-2230-BTC-4H,original,to_end,40,13,,Qwen/qwen3-next-80b-a3b-instruct,Qwen/Qwen3-VL-30B-A3B-Instruct,带资金回测,10000.00,11138.31,3409.25,30.00%,10.0000,0.0500%,5.0000%,34092.55,0.30885079,110385.165000,109653.845650,按第2根收盘平仓,-225.87,-1.99%
